lest1,l_std1,lest2,l_std2,lest3,l_std3,lest4,l_std4
0.10048,0.024491,0.010017,0.004894,0.016154,0.0077594,0.0042343,0.00049276
0.099133,0.023428,0.0097917,0.0047412,0.016127,0.0078735,0.0042333,0.00052307
0.099735,0.023574,0.0097303,0.0048697,0.016073,0.0078136,0.0042324,0.0005812
0.10163,0.023721,0.0098802,0.0046886,0.016112,0.007842,0.0041777,0.00043122
0.099556,0.023596,0.0098642,0.0048075,0.016046,0.0081936,0.0041687,0.00046638
0.10001,0.023021,0.0097541,0.0048752,0.016156,0.0079935,0.0041762,0.00055981
0.099897,0.023567,0.010314,0.0050269,0.015581,0.0078228,0.0041224,0.00040632
0.10142,0.022616,0.010187,0.0049644,0.015667,0.0078309,0.0041423,0.00055526
0.099076,0.023386,0.010105,0.0049311,0.015376,0.007466,0.0040931,0.00042249
0.099089,0.02329,0.010315,0.004889,0.015253,0.0073517,0.0040847,0.00045698
0.10091,0.023195,0.0095944,0.0047333,0.01566,0.0074769,0.0040763,0.00048841
0.099325,0.022844,0.010136,0.0048337,0.015481,0.0076622,0.004044,0.00041742
0.10132,0.023277,0.0098725,0.0048156,0.015957,0.0077498,0.0040359,0.00045152
0.099809,0.022993,0.010266,0.0050851,0.015802,0.0078665,0.0040437,0.00054204
0.098804,0.022999,0.0099802,0.0048455,0.015546,0.007896,0.0040079,0.00046462
0.10039,0.023035,0.0098622,0.0048242,0.01575,0.007729,0.0040354,0.00063971
0.10081,0.022537,0.0098549,0.0048971,0.015655,0.0073195,0.0039843,0.00049231
0.10034,0.022756,0.01007,0.0049093,0.014958,0.0074933,0.0039531,0.00042555
0.10013,0.022427,0.0096965,0.0046226,0.015713,0.0072207,0.0039533,0.00048847
0.10039,0.021602,0.009876,0.0048244,0.015565,0.0077162,0.0039535,0.00054291
0.10131,0.021774,0.010019,0.0050262,0.014639,0.0070629,0.0039537,0.00059122
0.10046,0.022288,0.0098808,0.0049538,0.015524,0.0074227,0.0039154,0.00051161
0.099749,0.022368,0.0099464,0.0048742,0.01569,0.0076118,0.0038774,0.00041739
0.10046,0.022707,0.0098893,0.0048899,0.015209,0.0070683,0.0038779,0.00047915
0.10006,0.022001,0.010137,0.004949,0.01522,0.0075455,0.0038631,0.00047733
0.10067,0.022231,0.010083,0.004993,0.015132,0.0071084,0.0038371,0.00046153
0.099583,0.022603,0.0097208,0.004773,0.01516,0.0072013,0.003834,0.00050292
0.098989,0.021078,0.0098722,0.0047579,0.014926,0.0071768,0.0038233,0.0005145
0.099819,0.022734,0.0099551,0.0047885,0.015288,0.007149,0.0037828,0.00037284
0.10019,0.021755,0.010078,0.0049941,0.014573,0.0072879,0.0037724,0.00038938
0.099994,0.021627,0.0101,0.0048933,0.015045,0.0070762,0.0037732,0.00045209
0.099617,0.021029,0.0097444,0.0047118,0.0151,0.0072865,0.003763,0.00046496
0.099492,0.021219,0.010018,0.0048724,0.01495,0.0071252,0.0037823,0.0005764
0.10062,0.022001,0.010107,0.0049185,0.01439,0.0066919,0.0037316,0.00044711
0.098945,0.02111,0.010117,0.0047831,0.014831,0.0072905,0.0036996,0.00036465
0.099402,0.021837,0.0099015,0.0047253,0.014755,0.0069118,0.0037299,0.00053561
0.10037,0.022021,0.010062,0.0047418,0.015054,0.0071149,0.0036945,0.0004565
0.10005,0.020775,0.010101,0.0046125,0.015124,0.007071,0.0037065,0.0005434
0.099765,0.020936,0.010043,0.0048277,0.014765,0.0070937,0.0036679,0.00045321
0.10029,0.021068,0.01,0.004868,0.01484,0.0071714,0.0036691,0.00050385
0.098471,0.021034,0.010237,0.0047941,0.014471,0.0067227,0.0036523,0.00048958
0.098958,0.020751,0.0099321,0.0045858,0.015137,0.0072213,0.0036179,0.00040475
0.1004,0.021281,0.0098683,0.0047469,0.014524,0.0067954,0.0036299,0.00049847
0.10115,0.020763,0.010163,0.0050674,0.014661,0.0073079,0.0036277,0.00053184
0.099352,0.021216,0.0096961,0.0045693,0.014679,0.0071213,0.003629,0.00057302
0.09832,0.020405,0.0098944,0.004742,0.014541,0.0070391,0.0035634,0.00038359
0.099826,0.022066,0.010063,0.0050049,0.01439,0.0069566,0.0035719,0.00046673
0.09998,0.021589,0.0099266,0.0047182,0.014556,0.0067051,0.003542,0.00039626
0.10054,0.020681,0.0097456,0.0046403,0.01467,0.0069818,0.0035436,0.00045065
0.10007,0.020557,0.0097813,0.004755,0.014389,0.0070239,0.0035174,0.00039351
0.10059,0.021174,0.010048,0.0046146,0.014402,0.0067304,0.0035329,0.00049639
0.10093,0.021276,0.010072,0.0046399,0.014195,0.0067433,0.0035034,0.00043289
0.099781,0.020807,0.0098076,0.0046341,0.014358,0.0067685,0.0035189,0.0005262
0.10143,0.020743,0.0099212,0.0045975,0.014267,0.0067004,0.0034863,0.00045554
0.099788,0.020621,0.01029,0.0047717,0.014419,0.0066301,0.0034949,0.00054447
0.10106,0.020661,0.009932,0.0046556,0.014275,0.0067997,0.0034524,0.00041365
0.10067,0.019684,0.0099322,0.0047325,0.014366,0.0066094,0.0034441,0.00042555
0.1015,0.020549,0.010111,0.0046896,0.014199,0.006612,0.0034223,0.00038287
0.10043,0.02043,0.0097542,0.004707,0.013932,0.0065537,0.0034141,0.00039579
0.099538,0.020716,0.0099564,0.0047456,0.014476,0.0067562,0.0034195,0.00045837
0.099502,0.019926,0.0098763,0.0045102,0.014498,0.0067072,0.0034247,0.00053354
0.10138,0.019965,0.0097733,0.004523,0.014152,0.0065623,0.00342,0.00057109
0.099227,0.019829,0.010206,0.004767,0.014128,0.0066225,0.0033854,0.0004538
0.10035,0.020615,0.0097947,0.0045355,0.014198,0.0064638,0.0033609,0.00040269
0.09807,0.020802,0.010251,0.0046799,0.014329,0.0067209,0.0033597,0.000439
0.1007,0.020013,0.010168,0.0046622,0.014112,0.0064843,0.0033355,0.00038668
0.1005,0.019726,0.01021,0.0047909,0.014056,0.0063183,0.0033377,0.00043612
0.099653,0.018333,0.010036,0.0049196,0.014093,0.0065833,0.0033203,0.00041025
