jest1, j_std1, jest2, j_std2, jest3 ,j_std3, jest4, j_std4
0.10047,0.022963,0.0098524,0.0061332,0.012964,0.0076476,0.0024667,0.00063342
0.099741,0.023042,0.0099336,0.0060292,0.013151,0.0078411,0.0024265,0.0005163
0.10047,0.023387,0.0098632,0.0060432,0.012671,0.0072799,0.002434,0.00059216
0.10006,0.022655,0.010169,0.0061108,0.012696,0.0077701,0.0024225,0.00058938
0.10069,0.022889,0.010103,0.0061595,0.012621,0.0073187,0.0023972,0.00056936
0.099571,0.023268,0.0096558,0.005883,0.012665,0.0074131,0.0024,0.00061988
0.098959,0.021694,0.0098426,0.0058592,0.012439,0.0073867,0.0023935,0.0006336
0.099814,0.023395,0.0099447,0.0058919,0.012826,0.0073568,0.0023502,0.00045875
0.1002,0.022384,0.010096,0.0061396,0.012104,0.0074985,0.002344,0.00047869
0.099994,0.022248,0.010123,0.0060105,0.012603,0.0072795,0.0023516,0.00055531
0.099606,0.02163,0.0096864,0.0057827,0.012674,0.0074946,0.0023455,0.00057063
0.099477,0.021822,0.010023,0.0059748,0.012534,0.0073276,0.0023756,0.0007068
0.10064,0.022622,0.010131,0.0060263,0.011972,0.0068809,0.0023198,0.00054781
0.098916,0.021703,0.010143,0.0058555,0.012438,0.0074953,0.002287,0.00044641
0.099385,0.022447,0.0098795,0.00578,0.012374,0.0071048,0.0023304,0.00065516
0.10038,0.022632,0.010076,0.0057955,0.012694,0.0073125,0.0022933,0.00055795
0.10005,0.021348,0.010124,0.005633,0.012779,0.0072663,0.0023142,0.00066362
0.099758,0.021511,0.010053,0.005891,0.012423,0.0072885,0.0022731,0.00055303
0.1003,0.021644,0.01,0.0059355,0.012514,0.0073674,0.0022807,0.00061434
0.098429,0.021605,0.010288,0.0058409,0.012147,0.0069054,0.0022664,0.00059648
0.09893,0.021312,0.0099174,0.0055827,0.012843,0.0074165,0.0022304,0.00049274
0.10041,0.021853,0.0098398,0.0057744,0.012226,0.0069781,0.0022511,0.00060636
0.10118,0.021318,0.010198,0.0061596,0.01238,0.0075033,0.0022543,0.00064646
0.099335,0.021781,0.0096309,0.0055498,0.01241,0.0073107,0.0022618,0.00069598
0.098275,0.020945,0.0098718,0.0057553,0.01228,0.0072253,0.002188,0.00046555
0.099821,0.022647,0.010077,0.0060698,0.012137,0.0071397,0.0022043,0.00056603
0.099979,0.022154,0.009911,0.0057178,0.012319,0.0068806,0.0021737,0.00048021
0.10056,0.021219,0.009692,0.0056192,0.012448,0.0071637,0.0021814,0.00054572
0.10007,0.02109,0.0097353,0.005754,0.012171,0.0072059,0.0021555,0.00047618
0.10061,0.02172,0.010059,0.00558,0.012196,0.0069038,0.0021799,0.00060023
0.10096,0.021821,0.010087,0.0056066,0.011995,0.0069162,0.00215,0.00052307
0.099776,0.021337,0.0097676,0.0055955,0.012173,0.0069411,0.0021743,0.00063538
0.10146,0.02127,0.009905,0.0055473,0.012091,0.0068705,0.0021405,0.00054966
0.099783,0.021141,0.01035,0.0057536,0.012258,0.0067975,0.0021564,0.0006565
0.10109,0.02118,0.009918,0.0056096,0.012121,0.0069706,0.0021107,0.00049842
0.10069,0.020176,0.0099184,0.0056983,0.012225,0.0067746,0.0021061,0.0005124
0.10154,0.021061,0.010134,0.0056428,0.012065,0.0067765,0.0020854,0.00046069
0.10045,0.020935,0.0097045,0.0056598,0.011802,0.0067159,0.002081,0.00047591
0.099527,0.021226,0.0099476,0.0057023,0.012369,0.0069226,0.0020927,0.00055078
0.09949,0.020415,0.0098514,0.0054159,0.012402,0.0068716,0.0021044,0.00064068
0.10141,0.020452,0.009728,0.0054277,0.012059,0.0067224,0.002104,0.00068531
0.099209,0.02031,0.010247,0.0057166,0.012044,0.0067833,0.0020677,0.0005442
0.10036,0.021113,0.009754,0.0054354,0.012126,0.0066199,0.0020437,0.00048259
0.098024,0.021302,0.0103,0.0056048,0.012269,0.0068825,0.0020474,0.00052576
0.10071,0.020492,0.010201,0.0055799,0.012057,0.0066394,0.0020236,0.00046279
0.10051,0.020195,0.010251,0.0057302,0.01201,0.0064688,0.0020314,0.00052164
0.099645,0.018767,0.010043,0.0058805,0.012057,0.0067393,0.0020156,0.00049038
0.099604,0.020319,0.010039,0.0056517,0.011925,0.0066091,0.0020389,0.00059582
0.09969,0.0202,0.0099496,0.0053601,0.012376,0.0067048,0.0020039,0.0005013
0.10109,0.02051,0.0097645,0.005485,0.012238,0.0070577,0.0020077,0.00054081
0.10004,0.021354,0.010127,0.0059307,0.012088,0.0065136,0.0020038,0.00057797
0.10046,0.020537,0.010169,0.0055792,0.01181,0.0066293,0.0020192,0.00062132
0.10004,0.020055,0.010023,0.0055129,0.011995,0.0066501,0.0019924,0.00056014
0.099142,0.020332,0.010065,0.0055041,0.011826,0.0064903,0.0019924,0.00058223
0.099913,0.020557,0.0098068,0.0056149,0.012384,0.0068574,0.0019735,0.00056921
0.10043,0.02049,0.0099019,0.0055006,0.0122,0.006767,0.0019623,0.00052857
0.10011,0.020095,0.010041,0.0052762,0.012081,0.006372,0.0019586,0.00053931
